"","CA","FL","KS","NH","NV","OR","SD","TX","VA","WV"
"alkalinity",23,603,538,659,38,29,37,165,0,50
"calcium",29,604,501,0,39,29,0,49,0,9
"chloride",8,603,549,0,37,15,0,168,0,13
"sodium",8,604,542,0,39,16,0,50,0,0
"magnesium",28,604,500,0,39,14,0,48,0,9
"sulfate",31,603,550,0,36,18,0,166,0,4
"Potassium",22,603,541,0,3,16,0,36,0,0
"silica",18,0,536,0,0,1,0,37,0,0
"total Dissolved Solids",14,604,349,0,0,5,0,0,0,0
"salinity",2,166,0,0,0,1,0,59,76,0
"hardness",23,318,538,0,39,17,0,69,0,9
"pH",17,805,355,711,42,64,172,181,0,14
"conductivity",18,805,567,709,35,35,96,181,564,38
"turbidity",13,804,561,411,38,26,0,30,1,1
"Solids, total suspended",29,604,554,0,38,30,37,0,0,40
"temperature",17,805,567,0,42,11,176,181,497,14
"Oxygen, dissolved",16,805,432,0,42,35,176,181,0,14
"Chlorophyll a",20,804,540,648,5,26,0,164,0,75
"Nitrogen, NH4 NH3",37,804,593,0,37,32,0,165,0,7
"Nitrogen, total Kjeldahl",73,0,0,0,0,33,0,0,0,0
"Nitrogen, nitrite (NO2)",27,804,339,654,34,32,0,157,0,0
"Nitrogen, nitrite (NO2) + nitrate (NO3)",26,804,448,654,34,32,0,157,0,0
"Nitrogen, NH4",37,804,593,0,37,32,0,165,0,7
"Nitrogen, total",73,804,371,654,0,33,0,165,0,0
"Fecal",47,803,383,0,34,24,0,3,0,75
"Color",8,605,0,192,38,7,0,42,0,0
"Organic Carbon",76,805,317,732,42,28,0,56,0,78
"Mercury",51,24,449,0,41,7,0,16,0,0
"Atrazine",9,0,300,0,0,0,0,5,0,0
"metals",30,24,547,0,41,5,0,41,0,11
"Inorganic",41,603,481,0,41,5,0,68,0,0
"Organic",8,24,304,0,0,4,0,20,0,0
"Toxins",3,0,0,0,0,0,0,0,0,0
"Phosphorus, soluble reactive orthophosphate",24,274,0,14,0,25,0,163,0,0
"Phosphorus, total",75,804,586,706,0,32,0,171,0,0
"Secchi",3,804,356,651,23,30,39,171,334,0
"Inorganic Carbon",0,0,0,31,0,0,0,0,0,0
